id,x,y,shape,year,Degree,Random walk betweenness centrality,Betweenness centrality,Average neighbor degree,Clustering coef,index,iso3,name,gross import,constantGDP_percapita,corruption_index,GINI,per capita GDP growth,Trade % of GDP,gov_expend_on_health_%GDP,FDI_inflow_%GDP,gov_expend_on_educ_%GDP,tetrietary_school_enrollment,natural_resource_rents_%GDP,ICT_goods_export%exports,R&D_expenditues%GDP,domestic_credit_to_private_sector%GDP,Region Name,Sub-region Name,Least Developed Countries (LDC),Land Locked Developing Countries (LLDC),Small Island Developing States (SIDS),Developed / Developing Countries,WTO,herfindahl index,log_Gdp
33,0.5343,0.5409,0.5000,2000,127,0.008890653926178837,0.001175106694293207,130.15748031496062,0.8752655918010249,CM,CMR,Cameroon,1415173.9529999993,1145.45,7.11,,0.87,32.94,0.67,1.58,1.78,4.65,11.0,0.0,,7.58,Africa,Sub-Saharan Africa,0,0,0,0.0,1,1193.2142680515258,7.043552851879357
28,0.2046,0.8118,0.5000,2000,158,0.011966738091524445,0.004111877791511267,120.4493670886076,0.7581230347496574,CA,CAN,Canada,228237451.191,39340.75,95.43,33.3,3.95,70.24,6.03,9.2,5.44,59.11,3.97,7.55,1.86,93.44,Americas,Northern America,0,0,0,1.0,1,4505.122967923673,10.580016156326652
27,0.5582,0.5367,0.5000,2000,90,0.0068767848425013815,0.0003422108200896556,136.05555555555554,0.9268414481897628,CF,CAF,Central African Republic,60977.38200000001,422.45,8.12,,-4.7,30.4,1.84,0.1,1.61,1.92,11.2,0.02,,4.75,Africa,Sub-Saharan Africa,1,1,0,0.0,1,2487.223879803832,6.046071096598854
141,0.552,0.5859,0.5000,2000,60,0.004694429829585594,3.261455139501573e-05,143.08333333333334,0.9774011299435028,TD,TCD,Chad,,461.8,11.17,,-4.46,36.1,2.08,8.32,2.65,0.83,10.59,,,3.48,Africa,Sub-Saharan Africa,1,1,0,0.0,1,,6.135131896920395
30,0.3013,0.3018,0.5000,2000,134,0.009566451736752322,0.0016850255628761321,127.69402985074628,0.847267422287061,CL,CHL,Chile,16100553.377,9419.98,91.88,52.8,4.09,48.44,2.52,6.24,3.78,35.38,7.09,0.16,,63.7,Americas,Latin America and the Caribbean,0,0,0,0.0,1,937.4742513169266,9.150588244425904
31,0.7894,0.6992,0.5000,2000,156,0.011616995306396524,0.0037105655881701045,121.32051282051282,0.7690653432588916,CN,CHN,China,188749019.40399995,1767.83,49.24,,7.64,39.15,0.98,3.48,,7.59,2.53,17.71,0.89,111.12,Asia,Eastern Asia,0,0,0,0.0,1,897.6413622483539,7.477508084728357
35,0.2936,0.5254,0.5000,2000,151,0.011287192434173882,0.003305943927362837,122.6887417218543,0.7862251655629139,CO,COL,Colombia,11107751.329999996,4857.8,40.61,58.7,1.29,24.61,4.21,2.44,3.51,24.49,5.65,0.12,0.13,20.95,Americas,Latin America and the Caribbean,0,0,0,0.0,1,1464.298959408102,8.488340939509209
36,0.6219,0.434,0.5000,2000,73,0.005649286577759866,0.00012154903147282513,139.4794520547945,0.952054794520548,KM,COM,Comoros,35161.83700000001,1294.79,11.68,,8.09,16.27,1.59,0.03,,1.45,1.4,0.05,,6.89,Africa,Sub-Saharan Africa,1,0,1,0.0,0,1926.8103305336556,7.166103798821771
34,0.544,0.4987,0.5000,2000,77,0.005897018843391288,0.00012873532005817914,139.27272727272728,0.9562542720437457,CG,COG,Congo,,2438.95,10.15,,4.52,91.74,0.58,-3.04,,5.08,56.95,,,4.78,Africa,Sub-Saharan Africa,0,0,0,0.0,1,,7.799322897800786
37,0.2674,0.5542,0.5000,2000,133,0.009556681546310725,0.0016848469759687193,127.78195488721805,0.8479152426520847,CR,CRI,Costa Rica,5945392.675,6172.41,79.7,47.4,1.82,81.87,4.28,4.84,4.69,,1.02,30.29,0.41,25.61,Americas,Latin America and the Caribbean,0,0,0,0.0,1,2844.9852258731376,8.727844640311089
68,0.5422,0.7506,0.5000,2000,145,0.010584011346455471,0.0025942868004111682,124.22068965517241,0.8057471264367816,HR,HRV,Croatia,7529028.604000001,10458.37,56.35,,4.3,56.85,6.52,4.68,,32.38,1.1,1.99,1.04,31.81,Europe,Southern Europe,0,0,0,1.0,1,885.0097805019604,9.255157893735925
38,0.5929,0.6951,0.5000,2000,148,0.010457355523936618,0.0024805304814192355,124.64864864864865,0.8109946681375253,CY,CYP,Cyprus,3602664.922,26686.77,84.77,,4.84,48.04,2.18,8.56,4.99,19.56,0.03,1.61,0.23,,Asia,Western Asia,0,0,0,1.0,1,631.6891401667274,10.191923215966886
39,0.543,0.7768,0.5000,2000,155,0.011383090204968567,0.003445920630459738,121.83870967741936,0.7756179304566402,CZ,CZE,Czechia,31587228.019999992,14806.58,62.44,,4.56,99.06,5.07,8.09,3.65,28.35,0.56,4.59,1.11,45.07,Europe,Eastern Europe,0,0,0,1.0,0,1326.0752694961568,9.602826955543907
32,0.4846,0.5419,0.5000,2000,128,0.008923024962224628,0.001184060622539164,129.8046875,0.8711860236220472,CI,CIV,Côte d'Ivoire,2453352.4359999993,1355.26,29.95,,-4.58,59.44,0.81,2.19,3.7,,4.35,0.04,,15.06,Africa,Sub-Saharan Africa,0,0,0,0.0,1,1266.1117042898181,7.21174859682564
42,0.5264,0.8126,0.5000,2000,153,0.010931650445813791,0.0029692583512654536,122.84313725490196,0.7883556931544548,DK,DNK,Denmark,42160685.641000025,55850.63,99.49,23.8,3.4,59.0,6.74,21.94,8.08,57.22,1.49,7.21,,131.97,Europe,Northern Europe,0,0,0,1.0,1,903.4858460651882,10.930436084648587
41,0.3295,0.5856,0.5000,2000,104,0.007369547147107015,0.000393031854039209,134.43269230769232,0.9227035100821509,DM,DMA,Dominica,139878.70000000004,5578.81,64.47,,2.61,60.58,3.28,5.28,,,0.02,0.47,,50.43,Americas,Latin America and the Caribbean,0,0,1,0.0,1,2035.0150027187756,8.626730770983112
43,0.3051,0.6041,0.5000,2000,95,0.0066244241233522246,0.00014866839146443475,138.68421052631578,0.96013437849944,DO,DOM,Dominican Republic,,4051.5,28.43,51.5,3.08,62.6,1.71,4.07,1.89,,0.73,,,28.61,Americas,Latin America and the Caribbean,0,0,1,0.0,1,,8.30684246190078
45,0.2828,0.4898,0.5000,2000,138,0.010010885687127947,0.0020610540813298175,126.18840579710145,0.8276737543636941,EC,ECU,Ecuador,3308820.647,3663.66,20.3,56.4,-0.81,47.19,0.96,-0.13,1.15,,16.28,0.03,,26.04,Americas,Latin America and the Caribbean,0,0,0,0.0,1,1120.183296823092,8.206217926728495
46,0.5856,0.649,0.5000,2000,139,0.00947124321951551,0.0015805582474247002,127.44604316546763,0.8452716087999166,EG,EGY,Egypt,12701705.628000006,1980.97,34.01,,4.34,19.89,1.73,1.24,,,7.03,0.11,0.19,51.95,Africa,Northern Africa,0,0,0,0.0,1,616.4023923781916,7.591341902717147
134,0.2531,0.5766,0.5000,2000,119,0.008480107124467067,0.0009311496027484588,130.94117647058823,0.8822105113231733,SV,SLV,El Salvador,3230704.269999999,2665.72,35.03,51.5,0.39,66.93,3.94,1.47,2.84,21.41,0.5,0.05,,50.35,Americas,Latin America and the Caribbean,0,0,0,0.0,1,1619.5058226329231,7.888229468966446
61,0.5285,0.5092,0.5000,2000,44,0.0035781585325035297,1.743794242067527e-05,145.36363636363637,0.9788583509513742,GQ,GNQ,Equatorial Guinea,,5563.39,1.02,,13.45,147.99,0.32,14.77,,1.85,84.24,,,3.63,Africa,Sub-Saharan Africa,0,0,0,0.0,0,,8.62396291367586
47,0.6105,0.5843,0.5000,2000,43,0.0033799735271722664,2.8254380032035454e-06,148.27906976744185,0.9955703211517165,ER,ERI,Eritrea,,845.98,75.63,,-5.47,71.92,1.59,3.95,,1.96,4.85,,,29.19,Africa,Sub-Saharan Africa,1,0,0,0.0,0,,6.74049571866484
49,0.5695,0.8255,0.5000,2000,144,0.010495076656175327,0.0025006683508720026,124.31944444444444,0.807012432012432,EE,EST,Estonia,3550204.1749999993,10056.43,79.19,,9.58,155.99,3.92,7.31,5.34,54.54,2.3,25.26,0.6,,Europe,Northern Europe,0,0,0,1.0,1,802.2265039205812,9.215967509896847
139,0.5874,0.3527,0.5000,2000,112,0.007891012610832396,0.0006136645035048111,133.41071428571428,0.9063706563706564,SZ,SWZ,Eswatini,1072180.6149999995,3117.82,51.78,53.1,0.61,112.54,2.41,5.22,5.51,4.42,2.96,0.34,,10.98,Africa,Sub-Saharan Africa,0,1,0,0.0,1,9058.732587841283,8.044889318637658
50,0.6125,0.5508,0.5000,2000,129,0.009343972410431282,0.001518482570063616,128.73643410852713,0.857921511627907,ET,ETH,Ethiopia,1240189.3539999998,197.43,38.07,,3.06,21.18,1.8,1.63,3.98,1.19,18.35,,,22.9,Africa,Sub-Saharan Africa,1,1,0,0.0,0,744.1288208038202,5.285384091136137
52,0.9984,0.4079,0.5000,2000,63,0.0050066866350662155,0.00010215925381788402,143.15873015873015,0.9615975422427036,FJ,FJI,Fiji,,3315.95,64.97,,-2.27,84.02,2.86,0.04,5.86,,1.15,,,31.97,Oceania,Melanesia,0,0,1,0.0,1,,8.106499437733785
51,0.5715,0.844,0.5000,2000,153,0.011121535265424995,0.0031643526661959335,122.63398692810458,0.7856037151702786,FI,FIN,Finland,32513965.541999985,40403.55,100.0,27.2,5.55,64.07,5.08,10.74,5.72,82.33,0.42,23.55,3.25,,Europe,Northern Europe,0,0,0,1.0,1,671.0164774517201,10.606672931375915
53,0.5061,0.7568,0.5000,2000,160,0.012621604097296858,0.004841101960811913,119.35,0.7443396226415094,FR,FRA,France,293451806.4640001,38309.44,89.34,31.1,3.21,48.93,7.56,3.04,,50.6,0.07,10.81,2.09,,Europe,Western Europe,0,0,0,1.0,1,692.7473781534126,10.553451619994538
54,0.5322,0.4955,0.5000,2000,114,0.008007850035839367,0.0006524973632672281,133.35087719298247,0.9099518708275113,GA,GAB,Gabon,944498.7580000003,10160.34,29.44,,-4.22,70.01,1.06,5.49,3.83,,45.56,0.03,,8.7,Africa,Sub-Saharan Africa,0,0,0,0.0,1,2228.0529820865286,9.226247185139476
59,0.4575,0.5747,0.5000,2000,89,0.006818867624762466,0.00033254706431235,136.47191011235955,0.9310520939734422,GM,GMB,Gambia,188327.39799999993,832.68,42.13,,2.25,25.93,0.63,5.56,1.47,,2.25,0.49,,6.74,Africa,Sub-Saharan Africa,1,0,0,0.0,1,931.2805633558395,6.724649414699457
56,0.6204,0.7351,0.5000,2000,99,0.007468726977980175,0.0004986470192378158,133.7979797979798,0.9130076272933416,GE,GEO,Georgia,685112.8930000002,1633.54,15.23,40.5,3.84,33.75,0.84,4.3,2.18,39.06,0.71,0.1,0.22,8.68,Asia,Western Asia,0,0,0,0.0,1,770.9049860977016,7.398504718038531
40,0.529,0.7843,0.5000,2000,160,0.012621604097296795,0.004841101960811913,119.35,0.7443396226415094,DE,DEU,Germany,417267876.0,37930.49,93.4,28.8,2.76,53.98,7.7,12.76,,,0.1,8.4,2.39,,Europe,Western Europe,0,0,0,1.0,1,471.72331040154313,10.543510553133643
57,0.4972,0.5441,0.5000,2000,134,0.009398622665653056,0.00152318016760091,127.95522388059702,0.8510829312086186,GH,GHA,Ghana,2770073.033,952.14,54.82,,1.19,93.2,0.78,3.33,,,10.77,0.14,,13.97,Africa,Sub-Saharan Africa,0,0,0,0.0,1,529.1035575553968,6.858712082802806
62,0.5606,0.7171,0.5000,2000,152,0.01078183968335878,0.0028312976983957483,123.26315789473684,0.7938306029975601,GR,GRC,Greece,28021652.413999997,23275.44,75.13,34.2,3.5,34.76,,-0.01,3.23,50.78,0.07,4.25,,,Europe,Southern Europe,0,0,0,1.0,1,607.8057805444683,10.055154006370449
63,0.3289,0.5681,0.5000,2000,111,0.007998333704614889,0.0006994542736006805,131.81981981981983,0.8905814905814906,GD,GRD,Grenada,233607.61699999997,6284.7,72.08,,4.48,55.19,1.78,7.19,,,0.0,18.44,,62.56,Americas,Latin America and the Caribbean,0,0,1,0.0,1,2613.7452501360663,8.745873387188208
64,0.2494,0.5877,0.5000,2000,104,0.007066223301522135,0.00024308723687269598,137.06730769230768,0.9464152352501867,GT,GTM,Guatemala,,2554.75,27.92,54.2,1.27,40.86,2.02,-4.09,,,1.61,0.04,,19.79,Americas,Latin America and the Caribbean,0,0,0,0.0,1,,7.845709650492318
58,0.4731,0.5553,0.5000,2000,122,0.008865976608277261,0.0011622480819593508,129.4672131147541,0.8670911800569029,GN,GIN,Guinea,610368.2720000001,612.82,17.77,,0.19,42.67,0.3,0.33,2.59,,12.99,0.05,,3.99,Africa,Sub-Saharan Africa,1,0,0,0.0,1,1088.8684973997222,6.418071254969522
60,0.4578,0.5656,0.5000,2000,41,0.0035445768537810487,1.8226115890745847e-05,140.65853658536585,0.974390243902439,GW,GNB,Guinea-Bissau,,549.82,12.18,,3.31,32.69,3.48,0.19,,,11.88,,,4.6,Africa,Sub-Saharan Africa,1,0,1,0.0,1,,6.309590951933838
65,0.3363,0.527,0.5000,2000,112,0.00798679396617483,0.0006872602428314932,132.49107142857142,0.8992921492921493,GY,GUY,Guyana,562610.1429999999,2403.93,41.12,,-0.97,150.28,2.07,9.42,8.48,,12.55,0.03,,57.12,Americas,Latin America and the Caribbean,0,0,1,0.0,1,2068.336432942066,7.784860177094718
69,0.2992,0.6054,0.5000,2000,76,0.0057706703194603266,0.00010166445019106922,138.96052631578948,0.9571929824561404,HT,HTI,Haiti,,755.68,6.09,,-0.86,34.25,1.5,0.34,,,0.6,,,15.54,Americas,Latin America and the Caribbean,1,0,1,0.0,1,,6.627618006147807
67,0.2604,0.5844,0.5000,2000,119,0.008134436351280729,0.0006851780717229293,132.43697478991598,0.9021506907847885,HN,HND,Honduras,2722692.329,1607.68,17.26,,4.4,103.2,3.02,4.93,,13.07,1.52,0.18,0.04,34.11,Americas,Latin America and the Caribbean,0,0,0,0.0,1,2625.625203620801,7.38254742495967
66,0.817,0.6244,0.5000,2000,150,0.010915060244728384,0.002935678123467772,123.42666666666666,0.7952572706935123,HK,HKG,Hong Kong,197825699.59200007,23015.98,86.29,,6.72,242.75,,41.07,,,0.0,24.83,0.46,150.35,Asia,Eastern Asia,0,0,0,0.0,0,2453.5796870851404,10.043944036270283
70,0.5542,0.762,0.5000,2000,153,0.01100555817346645,0.003051880611974477,122.77777777777777,0.7874957000343997,HU,HUN,Hungary,29850052.0,10465.42,77.66,,4.75,127.84,4.66,5.82,4.86,35.94,0.68,25.74,0.79,31.88,Europe,Eastern Europe,0,0,0,1.0,1,1039.4397066212855,9.255831767854026
75,0.4472,0.8609,0.5000,2000,126,0.008323634301151942,0.0007419617525874816,131.88888888888889,0.9003174603174603,IS,ISL,Iceland,2543643.3890000004,37465.45,98.48,,3.47,49.87,7.21,1.72,6.45,46.1,0.0,0.11,2.58,93.76,Europe,Northern Europe,0,0,0,1.0,1,668.4977438894256,10.53117445393674
72,0.7193,0.6144,0.5000,2000,152,0.01121494864393979,0.003251766518610988,122.6842105263158,0.7859881491808993,IN,IND,India,37925503.951,826.59,44.16,,2.02,20.05,0.83,0.77,4.32,9.51,2.42,1.69,0.76,28.34,Asia,Southern Asia,0,0,0,0.0,1,429.0715755037554,6.717308804254635
71,0.8164,0.4956,0.5000,2000,155,0.011656484792851779,0.0037188146207687046,121.56774193548387,0.7720988688730624,ID,IDN,Indonesia,31780390.37999998,2143.66,19.29,30.2,3.48,66.05,0.55,-2.76,,14.88,10.27,,0.07,19.91,Asia,South-eastern Asia,0,0,0,0.0,1,751.6883692772379,7.670269927525672
74,0.6491,0.6802,0.5000,2000,133,0.009024155738834583,0.0012403712664137004,129.0,0.8622693096377307,IR,IRN,"Iran, Islamic Republic of",13359723.723000003,4818.9,39.59,,4.53,38.91,1.79,0.04,4.03,18.7,32.71,0.01,,26.25,Asia,Southern Asia,0,0,0,0.0,0,447.1048426520031,8.48030096523183
73,0.4771,0.7967,0.5000,2000,157,0.01193856414799287,0.00405191938035914,120.80891719745223,0.7626163645271925,IE,IRL,Ireland,45949243.25900001,44101.11,90.36,33.0,8.0,128.64,4.58,25.82,4.14,49.45,0.06,36.3,1.08,,Europe,Northern Europe,0,0,0,1.0,1,1566.5909944325497,10.694240231186203
76,0.5968,0.6725,0.5000,2000,134,0.00959925305455233,0.0017430362768358176,125.8731343283582,0.823925485355179,IL,ISR,Israel,30525500.0,27741.28,84.26,,4.65,52.21,4.3,6.08,6.12,50.01,0.0,12.88,3.94,72.45,Asia,Western Asia,0,0,0,1.0,1,908.2207624684437,10.230676835558423
77,0.5349,0.7326,0.5000,2000,158,0.01207172646606444,0.004208540237809616,120.41772151898734,0.7577199064742401,IT,ITA,Italy,215960565.11799994,36329.25,77.16,35.3,3.74,41.9,5.51,1.15,4.3,49.81,0.1,4.45,1.01,,Europe,Southern Europe,0,0,0,1.0,1,735.2072764899173,10.500378480906367
78,0.2853,0.6006,0.5000,2000,123,0.008377778239997063,0.000819998717965256,131.3008130081301,0.8913767826202852,JM,JAM,Jamaica,3053755.9939999995,4658.56,58.38,,0.04,51.15,3.19,4.67,4.98,15.08,1.75,0.21,,25.56,Americas,Latin America and the Caribbean,0,0,1,0.0,1,2484.518070598867,8.446461666489839
80,0.884,0.7011,0.5000,2000,159,0.012388603413920523,0.0045564512635256045,119.84905660377359,0.750577183345275,JP,JPN,Japan,354689613.36500007,42169.73,85.79,,2.61,17.57,5.75,0.22,,,0.01,22.7,2.91,212.27,Asia,Eastern Asia,0,0,0,1.0,1,813.8554179694576,10.649457944064192
79,0.6007,0.6699,0.5000,2000,130,0.008895104407432533,0.0011449402660262413,129.8923076923077,0.873345259391771,JO,JOR,Jordan,3481032.505000001,2838.67,59.39,,2.4,75.72,4.33,10.64,,27.23,0.09,1.83,,71.09,Asia,Western Asia,0,0,0,0.0,1,574.2087519200312,7.951090911604787
