Clustering_coef,Degree,Developed / Developing Countries,FDI_inflow_GDP,GINI,ICT_goods_export,Land Locked Developing Countries (LLDC),Least Developed Countries (LDC),Population,Population_growth,RD_expenditures_GDP,Region Name,Small Island Developing States (SIDS),Sub-region Name,Trade_GDP,Trade_bn_usd,WTO,constantGDP_percapita,corruption_index,domestic_credit_to_private_sector_GDP,gov_expend_on_educ_GDP,gov_expend_on_health_GDP,gross_import,id,index,iso3,life_expectancy,log_Gdp,name,natural_resource_rents_GDP,per_capita_GDP_growth,secondary_educ_gross_enrollment,shape,x,y,year,herfindahl index,Pop_MA,Pop_gr_MA,Trade_MA,life_exp_MA,gdp_MA,gdp_gr_MA,corup_MA,FDI_MA,clus_MA,herf_MA
0.0006792516795975697,115543420.66603884,0.0,0.7,,0.0,0.0,0.0,38923687.0,2.03,,Africa,0.0,Northern Africa,55.49,115.54342066603884,0.0,4702.09,32.21,18.35,,4.71,56856177.671000004,44,DZ,DZA,75.88,8.455762369707985,Algeria,24.6,1.71,,0.5000,0.5046,0.6557,2014,641.0326627497196,36699359.8,1.8719999999999994,59.61999999999999,75.17600000000002,8.417014718157976,0.952,36.402,1.2500000000000016,0.0007488239306751218,671.5443478639561
0.0005214218007360048,85836527.98219961,0.0,-0.32,,0.0,0.0,0.0,39728025.0,2.05,,Africa,0.0,Northern Africa,52.04,85.83652798219961,0.0,4777.35,29.81,21.71,,4.92,50154501.29,44,DZ,DZA,76.09,8.471641278447272,Algeria,16.25,1.6,,0.5000,0.5046,0.6557,2015,690.2724375262768,37417321.0,1.9339999999999993,58.40599999999999,75.424,8.430122575389436,1.3199999999999998,36.146,0.9900000000000017,0.0007307147969384093,655.5609529041797
0.000478580987530175,74699982.5436469,0.0,1.02,,0.02,0.0,0.0,40551404.0,2.05,,Africa,0.0,Northern Africa,48.19,74.6999825436469,0.0,4830.12,27.88,22.88,,4.47,45511498.16399999,44,DZ,DZA,76.3,8.48262659105849,Algeria,12.3,1.1,,0.5000,0.5046,0.6557,2016,756.1137194539107,38167435.0,1.9819999999999989,56.714,75.65400000000001,8.442943025722574,1.2899999999999998,34.774,0.6400000000000017,0.0006950026237180775,655.7515110493274
0.0004692657750383249,78363741.28263894,0.0,0.72,,0.03,0.0,0.0,41389198.0,2.04,0.54,Africa,0.0,Northern Africa,48.54,78.36374128263894,0.0,4793.87,30.29,24.8,,4.2,44285415.49143802,44,DZ,DZA,76.5,8.47509329739678,Algeria,14.71,-0.75,,0.5000,0.5046,0.6557,2017,728.8607678667697,38945427.0,2.015999999999999,54.279999999999994,75.87400000000001,8.456009684942657,1.3139999999999996,33.336,0.5860000000000015,0.0006399384841049691,676.3952333130799
0.0005377598047943274,48031742.359000005,0.0,3.67,51.1,0.36,0.0,0.0,36870787.0,1.1,0.44,Americas,0.0,Latin America and the Caribbean,18.12,48.031742359000006,1.0,8224.11,50.25,23.89,4.58,4.63,23827149.751,4,AR,ARG,73.58,9.014825363091877,Argentina,2.42,-1.87,95.94,0.5000,0.3233,0.2866,2000,1295.1878133221287,35652530.0,1.1639999999999993,17.876000000000005,73.026,9.019409252523383,1.0639999999999996,,,,
0.0005507589514611156,44265515.686000004,0.0,0.81,53.3,0.36,0.0,0.0,37275652.0,1.09,0.42,Americas,0.0,Latin America and the Caribbean,17.44,44.26551568600001,1.0,7776.14,,20.83,4.83,4.73,19219384.554,4,AR,ARG,73.76,8.95881535009343,Argentina,1.97,-5.45,96.85,0.5000,0.3233,0.2866,2001,1297.9310189848939,36061053.4,1.1379999999999992,18.316000000000006,73.21199999999999,9.03345044914229,1.4959999999999996,,,,
0.00047727649064648465,33678442.041,0.0,2.2,53.8,0.43,0.0,0.0,37681749.0,1.08,0.39,Americas,0.0,Latin America and the Caribbean,35.45,33.678442041000004,1.0,6854.29,39.39,15.33,4.02,4.17,8552868.307000006,4,AR,ARG,73.93,8.832630012598703,Argentina,5.72,-11.85,95.9,0.5000,0.3233,0.2866,2002,1445.7833280147918,36466909.0,1.1179999999999992,18.308000000000003,73.39599999999999,9.027918206893478,-0.4480000000000004,,,,
0.0005391004771641498,42789572.276999995,0.0,1.29,51.2,0.23,0.0,0.0,38087868.0,1.07,0.41,Americas,0.0,Latin America and the Caribbean,34.02,42.789572277,1.0,7380.47,38.38,10.76,3.54,3.89,13089045.771000002,4,AR,ARG,74.11,8.906592601203531,Argentina,5.0,7.68,94.96,0.5000,0.3233,0.2866,2003,1714.0290093108274,36871773.0,1.1019999999999992,21.518000000000008,73.57599999999998,8.983870004454737,-4.19,,,,
0.000586550460717174,55893391.051000014,0.0,2.51,48.6,0.22,0.0,0.0,38491972.0,1.06,0.4,Americas,0.0,Latin America and the Caribbean,34.63,55.893391051000016,1.0,7962.41,40.0,9.68,3.49,3.74,20778014.17200001,4,AR,ARG,74.28,8.982486996833808,Argentina,4.89,7.88,94.51,0.5000,0.3233,0.2866,2004,1733.5038309491706,37276654.8,1.0899999999999994,24.45200000000001,73.75599999999999,8.94932313480351,-3.1900000000000004,,,,
0.0006162704518744654,67592758.59,0.0,2.65,48.0,0.19,0.0,0.0,38892931.0,1.04,0.42,Americas,0.0,Latin America and the Caribbean,34.74,67.59275859,1.0,8577.86,43.41,10.65,3.86,3.91,27432736.463999987,4,AR,ARG,74.45,9.056939744122936,Argentina,5.73,7.73,92.76,0.5000,0.3233,0.2866,2005,1887.8820482141232,37681605.6,1.0799999999999992,27.93200000000001,73.93199999999999,8.939070064764273,-0.7220000000000008,,2.0960000000000014,0.0005382892369566504,1497.2870001163624
0.0006601008269328648,76303382.913,0.0,2.38,46.7,0.26,0.0,0.0,39289878.0,1.02,0.45,Americas,0.0,Latin America and the Caribbean,34.7,76.30338291300001,1.0,9174.5,42.93,11.91,4.13,4.02,31499443.042000003,4,AR,ARG,74.62,9.124183175525008,Argentina,6.08,6.96,91.81,0.5000,0.3233,0.2866,2006,1785.979965069697,38086034.4,1.0679999999999992,31.25600000000001,74.106,8.947492940970486,1.1979999999999993,,1.8920000000000017,0.0005539913663726781,1615.8258470947615
0.0007528326521669628,96634104.986,0.0,2.25,46.6,0.26,0.0,0.0,39684295.0,1.0,0.46,Americas,0.0,Latin America and the Caribbean,34.95,96.634104986,1.0,9901.51,45.15,13.1,4.46,4.25,41169624.79200001,4,AR,ARG,74.79,9.200442549744412,Argentina,5.01,7.92,91.92,0.5000,0.3233,0.2866,2007,1672.8396682529947,38488879.6,1.0539999999999992,34.70800000000001,74.27799999999999,8.9805665060568,3.679999999999999,40.821999999999996,2.2060000000000013,0.0005758597414670279,1713.4356363117222
0.0008995445831476542,124868348.04488182,0.0,2.69,45.3,0.21,0.0,0.0,40080160.0,0.99,0.47,Americas,0.0,Latin America and the Caribbean,35.26,124.86834804488183,1.0,10201.48,39.32,12.31,4.84,4.51,52673582.899000034,4,AR,ARG,74.95,9.230288086785876,Argentina,5.11,3.03,93.24,0.5000,0.3233,0.2866,2008,1604.397336470306,38889388.8,1.0379999999999991,34.60800000000002,74.45,9.054129013485943,7.633999999999999,41.974000000000004,2.216000000000001,0.0006309709737711236,1758.8469043593627
0.0007405958637234108,88502227.67013323,0.0,1.21,44.1,0.18,0.0,0.0,40482788.0,1.0,0.58,Americas,0.0,Latin America and the Caribbean,28.37,88.50222767013324,1.0,9502.24,39.71,12.42,5.53,5.67,35491847.533000015,4,AR,ARG,75.12,9.159282839268347,Argentina,3.28,-6.85,96.62,0.5000,0.3233,0.2866,2009,1589.415039521991,39287847.2,1.0219999999999991,34.85600000000001,74.618,9.118868110602412,6.703999999999999,42.162,2.496000000000001,0.0007030597949678243,1736.9205697912585
0.0007901860630939242,116166390.53367227,0.0,2.68,44.5,0.11,0.0,0.0,40788453.0,0.75,0.56,Americas,0.0,Latin America and the Caribbean,29.5,116.16639053367227,1.0,10385.96,43.33,12.69,5.02,5.57,51886811.136,4,AR,ARG,75.28,9.248210173058508,Argentina,3.48,9.3,99.5,0.5000,0.3233,0.2866,2010,1643.750890991861,39686010.4,1.0099999999999991,33.60400000000001,74.78599999999999,9.15422727908932,3.757999999999999,42.104,2.236000000000001,0.0007338688755690717,1708.1028115058227
0.0008648922888036441,142246062.1435822,0.0,2.04,42.7,0.11,0.0,0.0,41261490.0,1.15,0.57,Americas,0.0,Latin America and the Caribbean,29.87,142.2460621435822,1.0,10883.32,44.08,14.01,5.29,5.68,65389925.23199997,4,AR,ARG,75.44,9.294986620920863,Argentina,3.91,4.79,101.54,0.5000,0.3233,0.2866,2011,1636.3817792512182,40065114.8,0.9519999999999991,32.55600000000001,74.95199999999998,9.192481364876434,4.071999999999999,42.08800000000001,2.242000000000001,0.0007686519978129635,1659.2765800613702
0.0008247742276743941,137425656.47601154,0.0,2.81,41.4,0.11,0.0,0.0,41733271.0,1.14,0.63,Americas,0.0,Latin America and the Caribbean,27.1,137.42565647601154,1.0,10649.84,39.34,15.21,5.35,6.13,61467651.624999985,4,AR,ARG,75.6,9.27330014755054,Argentina,3.76,-2.15,103.48,0.5000,0.3233,0.2866,2012,1370.5290998191335,40459437.2,0.9779999999999991,31.59000000000001,75.11599999999999,9.226642053955606,3.637999999999999,42.318000000000005,2.174000000000001,0.0008096102901871194,1629.3569428976746
0.0007756242511132505,137510626.6312063,0.0,1.78,41.0,0.15,0.0,0.0,42202935.0,1.12,0.62,Americas,0.0,Latin America and the Caribbean,27.25,137.5106266312063,1.0,10784.63,40.28,15.73,5.44,6.22,65694451.42399999,4,AR,ARG,75.76,9.285877251327019,Argentina,3.35,1.27,105.04,0.5000,0.3233,0.2866,2013,1391.8136133297992,40869232.4,1.005999999999999,30.020000000000003,75.27799999999999,9.241213573516834,1.6239999999999992,41.156000000000006,2.286000000000001,0.0008239986052886057,1568.8948292109023
0.0006795096704722845,121394465.31984387,0.0,0.96,41.7,0.23,0.0,0.0,42669500.0,1.1,0.59,Americas,0.0,Latin America and the Caribbean,25.49,121.39446531984387,1.0,10398.69,35.1,13.82,5.36,6.33,57433890.30798003,4,AR,ARG,75.91,9.249435115657182,Argentina,3.03,-3.58,106.04,0.5000,0.3233,0.2866,2014,1317.5742995143173,41293787.4,1.031999999999999,28.418000000000006,75.43999999999998,9.252331406425062,1.2719999999999991,41.348000000000006,2.104000000000001,0.0007992145388817252,1526.378084582801
